person,question_id,description,choices,Unnamed: 3,pick
Sarah,Q01,National anthem 119.5s,O/U,,U
Sarah,Q02,Coin Toss,H/T,,H
Sarah,Q03,Winner of coin toss,SEA/NE,,NE
Sarah,Q04,Q1 Points 7.5,O/U,,O
Sarah,Q05,Q2 Points 13.5,O/U,,O
Sarah,Q06,Q3 Points 9.5,O/U,,O
Sarah,Q07,Q4 Points 12.5,O/U,,O
Sarah,Q08,Game Total 45.5,O/U,,U
Sarah,Q09,Total TDs 5.5,O/U,,O
Sarah,Q10,Total FGs 3.5,O/U,,U
Sarah,Q11,Total INTs 1.5,O/U,,O
Sarah,Q12,Total FUMs lost 1.5,O/U,,O
Sarah,Q13,Total Sacks 5.5,O/U,,O
Sarah,Q14,Total Punts 7.5,O/U,,O
Sarah,Q15,Total FDOWNS 39.5,O/U,,O
Sarah,Q16,Sam Arnold Completions 19.5,O/U,,O
Sarah,Q17,Kennet Walker III Rush Yards 73.5,O/U,,U
Sarah,Q18,Jaxon Smith-Njigba receptions 6.5,O/U,,O
Sarah,Q19,Cooper Kupp touchdowns 0.5,O/U,,O
Sarah,Q20,Rashid Shaheed receiving yards 21.5,O/U,,U
Sarah,Q21,Sam Darnold passing yards 231.5,O/U,,U
Sarah,Q22,Ernest Jones IV solo + assisted tackles 8.5,O/U,,O
Sarah,Q23,DeMarcus Lawrence sacks 0.5,O/U,,O
Sarah,Q24,AJ Barner receiving yards 26.5,O/U,,U
Sarah,Q25,Jason Myers kicking points 8.5,O/U,,U
Sarah,Q26,Drake Maye rushing yards 36.5,O/U,,O
Sarah,Q27,Rhamondre Stevenson rushing yards 49.5,O/U,,U
Sarah,Q28,Kayshon Boutte receiving yards 31.5,O/U,,O
Sarah,Q29,Hunter Henry receptions 3.5,O/U,,U
Sarah,Q30,Stefon Diggs receptions 4.5,O/U,,O
Sarah,Q31,Craig Woodson solo + assisted tackles 5.5,O/U,,O
Sarah,Q32,K'lavon Chaisson sacks 0.5,O/U,,O
Sarah,Q33,Treveyon Henderson touchdowns 0.5,O/U,,O
Sarah,Q34,Drake Maye rushing touchdowns 0.5,O/U,,O
Sarah,Q35,Andy Borregales kicking points 6.5,O/U,,U
Sarah,Q36,First TD ,SEA/NE,,SEA
Sarah,Q37,First FG,SEA/NE,,NE
Sarah,Q38,First Turnover,SEA/NE,,SEA
Sarah,Q39,First Timeout,SEA/NE,,SEA
Sarah,Q40,First Punt,SEA/NE,,SEA
Sarah,Q41,First Sack,SEA/NE,,NE
Sarah,Q42,First play from scrimmage is a rushing attempt?,Y/N,,N
Sarah,Q43,A player gains 10 or more yards on one play?,Y/N,,Y
Sarah,Q44,Team crosses midfield (passes 50 yard line)?,Y/N,,N
Sarah,Q45,First song “LA MuDANZA”,Y/N,,N
Sarah,Q46,Special guest appearance by Cardi B?,Y/N,,N
Sarah,Q47,Sam Darnold completes first 2 pass attempts?,Y/N,,Y
Sarah,Q48,Will the game be tied after 0-0?,Y/N,,Y
Sarah,Q49,Either team scores in first 6.5 minutes of the game?,Y/N,,Y
Sarah,Q50,3 total players to have a passing attempt?,Y/N,,Y
Sarah,Q51,Will there be a missed field goal?,Y/N,,Y
Sarah,Q52,New England commits first accepted penalty?,Y/N,,N
Sarah,Q53,Special teams or defensive touchdown?,Y/N,,Y
Sarah,Q54,Will Seattle have the lead at halftime?,Y/N,,Y
Sarah,Q55,New England scores first after halftime?,Y/N,,N
Sarah,Q56,Safety?,Y/N,,N
Sarah,Q57,4th down conversion for a touchdown?,Y/N,,Y
Sarah,Q58,Will there be a successful 2 pt conversion?,Y/N,,N
Sarah,Q59,Will either team kick a field goal in the 3rd quarter?,Y/N,,Y
Sarah,Q60,Points scored with under 2 minutes left in game?,Y/N,,Y
Sarah,Q61,Will there be a missed extra point kick?,Y/N,,Y
Sarah,Q62,Will there be overtime?,Y/N,,N
Sarah,Q63,SB Champion?,SEA/NE,,SEA
Sarah,Q64,Covers point spread? SEA-4.5,SEA/NE,,SEA
Sarah,Q65,QB MVP?,Y/N,,N
Sarah,Q66,Gatorade Color,BG/OY/CL/RP/NO,,CL
Sarah,Q67,Write-in score,,,24-21
